Episode 200/1000 | Score:   0 | Reward: -19.9 | Epsilon: 0.36695782 | Steps: 100
Episode 201/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.36512303 | Steps: 201
Episode 202/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.36329742 | Steps: 201
Episode 203/1000 | Score:   0 | Reward: -14.7 | Epsilon: 0.36148093 | Steps:  48
Episode 204/1000 | Score:   2 | Reward: -24.6 | Epsilon: 0.35967353 | Steps: 349
Episode 205/1000 | Score:   0 | Reward: -15.1 | Epsilon: 0.35787516 | Steps:  52
Episode 206/1000 | Score:   1 | Reward: -5.6 | Epsilon: 0.35608578 | Steps:  58
Episode 207/1000 | Score:   0 | Reward: -19.7 | Epsilon: 0.35430535 | Steps:  98
Episode 208/1000 | Score:   0 | Reward: -26.2 | Epsilon: 0.35253383 | Steps: 163
Episode 209/1000 | Score:   0 | Reward: -26.8 | Epsilon: 0.35077116 | Steps: 169
Episode 210/1000 | Score:   0 | Reward: -19.2 | Epsilon: 0.34901730 | Steps:  93
Episode 211/1000 | Score:   0 | Reward: -18.5 | Epsilon: 0.34727222 | Steps:  86
Episode 212/1000 | Score:   1 | Reward: -25.1 | Epsilon: 0.34553585 | Steps: 253
Episode 213/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.34380817 | Steps: 201
Episode 214/1000 | Score:   1 | Reward: -10.0 | Epsilon: 0.34208913 | Steps: 102
Episode 215/1000 | Score:   1 | Reward: -13.4 | Epsilon: 0.34037869 | Steps: 136
Episode 216/1000 | Score:   0 | Reward: -19.3 | Epsilon: 0.33867679 | Steps:  94
Episode 217/1000 | Score:   0 | Reward: -19.8 | Epsilon: 0.33698341 | Steps:  99
Episode 218/1000 | Score:   0 | Reward: -25.4 | Epsilon: 0.33529849 | Steps: 155
Episode 219/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.33362200 | Steps: 201
Episode 220/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.33195389 | Steps: 201
Episode 221/1000 | Score:   1 | Reward: -23.4 | Epsilon: 0.33029412 | Steps: 236
Episode 222/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.32864265 | Steps: 201
Episode 223/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.32699944 | Steps: 201
Episode 224/1000 | Score:   0 | Reward: -16.7 | Epsilon: 0.32536444 | Steps:  68
Episode 225/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.32373762 | Steps: 201
Episode 226/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.32211893 | Steps: 201
Episode 227/1000 | Score:   0 | Reward: -14.9 | Epsilon: 0.32050834 | Steps:  50
Episode 228/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.31890579 | Steps: 201
Episode 229/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.31731127 | Steps: 201
Episode 230/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.31572471 | Steps: 201
Episode 231/1000 | Score:   0 | Reward: -21.1 | Epsilon: 0.31414609 | Steps: 112
Episode 232/1000 | Score:   0 | Reward: -18.2 | Epsilon: 0.31257535 | Steps:  83
Episode 233/1000 | Score:   1 | Reward: -19.8 | Epsilon: 0.31101248 | Steps: 200
Episode 234/1000 | Score:   0 | Reward: -15.7 | Epsilon: 0.30945742 | Steps:  58
Episode 235/1000 | Score:   0 | Reward: -22.7 | Epsilon: 0.30791013 | Steps: 128
Episode 236/1000 | Score:   1 | Reward: -17.4 | Epsilon: 0.30637058 | Steps: 176
Episode 237/1000 | Score:   1 | Reward: -7.4 | Epsilon: 0.30483873 | Steps:  76
Episode 238/1000 | Score:   1 | Reward: -7.5 | Epsilon: 0.30331453 | Steps:  77
Episode 239/1000 | Score:   0 | Reward: -22.9 | Epsilon: 0.30179796 | Steps: 130
Episode 240/1000 | Score:   2 | Reward: 4.3 | Epsilon: 0.30028897 | Steps:  60
Episode 241/1000 | Score:   0 | Reward: -29.7 | Epsilon: 0.29878752 | Steps: 198
Episode 242/1000 | Score:   1 | Reward: -20.4 | Epsilon: 0.29729359 | Steps: 206
Episode 243/1000 | Score:   0 | Reward: -27.1 | Epsilon: 0.29580712 | Steps: 172
Episode 244/1000 | Score:   3 | Reward: 11.6 | Epsilon: 0.29432808 | Steps:  88
Episode 245/1000 | Score:   2 | Reward: -5.9 | Epsilon: 0.29285644 | Steps: 162
Episode 246/1000 | Score:   1 | Reward: -13.9 | Epsilon: 0.29139216 | Steps: 141
Episode 247/1000 | Score:   0 | Reward: -15.3 | Epsilon: 0.28993520 | Steps:  54
Episode 248/1000 | Score:   0 | Reward: -23.3 | Epsilon: 0.28848552 | Steps: 134
Episode 249/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.28704310 | Steps: 201
Episode 250/1000 | Score:   1 | Reward: -11.3 | Epsilon: 0.28560788 | Steps: 115
Episode 251/1000 | Score:   0 | Reward: -22.8 | Epsilon: 0.28417984 | Steps: 129
Episode 252/1000 | Score:   2 | Reward: -15.5 | Epsilon: 0.28275894 | Steps: 258
Episode 253/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.28134515 | Steps: 201
Episode 254/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.27993842 | Steps: 201
Episode 255/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.27853873 | Steps: 201
Episode 256/1000 | Score:   1 | Reward: -4.2 | Epsilon: 0.27714604 | Steps:  44
Episode 257/1000 | Score:   0 | Reward: -18.4 | Epsilon: 0.27576031 | Steps:  85
Episode 258/1000 | Score:   1 | Reward: -10.5 | Epsilon: 0.27438150 | Steps: 107
Episode 259/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.27300960 | Steps: 201
Episode 260/1000 | Score:   0 | Reward: -20.3 | Epsilon: 0.27164455 | Steps: 104
Episode 261/1000 | Score:   0 | Reward: -13.4 | Epsilon: 0.27028633 | Steps:  35
Episode 262/1000 | Score:   0 | Reward: -15.2 | Epsilon: 0.26893489 | Steps:  53
Episode 263/1000 | Score:   0 | Reward: -13.2 | Epsilon: 0.26759022 | Steps:  33
Episode 264/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.26625227 | Steps: 201
Episode 265/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.26492101 | Steps: 201
Episode 266/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.26359640 | Steps: 201
Episode 267/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.26227842 | Steps: 201
Episode 268/1000 | Score:   2 | Reward: -9.6 | Epsilon: 0.26096703 | Steps: 199
Episode 269/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.25966219 | Steps: 201
Episode 270/1000 | Score:   0 | Reward: -13.2 | Epsilon: 0.25836388 | Steps:  33
Episode 271/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.25707206 | Steps: 201
Episode 272/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.25578670 | Steps: 201
Episode 273/1000 | Score:   2 | Reward: -24.7 | Epsilon: 0.25450777 | Steps: 350
Episode 274/1000 | Score:   0 | Reward: -15.4 | Epsilon: 0.25323523 | Steps:  55
Episode 275/1000 | Score:   4 | Reward: -2.2 | Epsilon: 0.25196905 | Steps: 327
Episode 276/1000 | Score:   0 | Reward: -13.0 | Epsilon: 0.25070921 | Steps:  31
Episode 277/1000 | Score:   2 | Reward: -11.6 | Epsilon: 0.24945566 | Steps: 219
Episode 278/1000 | Score:   0 | Reward: -17.2 | Epsilon: 0.24820838 | Steps:  73
Episode 279/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.24696734 | Steps: 201
Episode 280/1000 | Score:   1 | Reward: -16.6 | Epsilon: 0.24573251 | Steps: 168
Episode 281/1000 | Score:   4 | Reward: -28.3 | Epsilon: 0.24450384 | Steps: 588
Episode 282/1000 | Score:   1 | Reward: -7.5 | Epsilon: 0.24328132 | Steps:  77
Episode 283/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.24206492 | Steps: 201
Episode 284/1000 | Score:   0 | Reward: -15.8 | Epsilon: 0.24085459 | Steps:  59
Episode 285/1000 | Score:   3 | Reward: 6.2 | Epsilon: 0.23965032 | Steps: 142
Episode 286/1000 | Score:   2 | Reward: 1.3 | Epsilon: 0.23845207 | Steps:  90
Episode 287/1000 | Score:   2 | Reward: 2.2 | Epsilon: 0.23725981 | Steps:  81
Episode 288/1000 | Score:   1 | Reward: -25.2 | Epsilon: 0.23607351 | Steps: 254
Episode 289/1000 | Score:   1 | Reward: -19.0 | Epsilon: 0.23489314 | Steps: 192
Episode 290/1000 | Score:   2 | Reward: -12.2 | Epsilon: 0.23371868 | Steps: 225
Episode 291/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.23255008 | Steps: 201
